accept_stat__,stepsize__,int_time__,energy__,lp__
1,3.12199,31.2199,4.09642,-3.74338
1,4.30351,43.0351,2.70922,-2.48924
1,5.91985,59.1985,6.53472,-1.08251
6.93138e-007,1.61963,16.1963,19.7229,-19.5446
1,2.23043,22.3043,4.1826,-1.03375
0.398201,1.16848,11.6848,6.10783,-5.02512
1,1.60755,16.0755,3.37194,-1.71609
1,2.20716,22.0716,3.57339,-3.25609
0.934544,2.72593,27.2593,5.59525,-2.09375
0.101739,0.900022,9.00022,8.27543,-6.92082
1,1.23431,12.3431,5.6263,-4.27959
0.944439,1.54811,15.4811,6.38011,-5.31414
1,2.11548,21.1548,5.42362,-4.91121
1,2.88532,28.8532,2.23493,-1.50461
0.923139,3.48454,34.8454,2.0443,-1.93756
0.932747,4.26668,42.6668,3.52543,-1.69724
0.0266726,1.28214,12.8214,4.76747,-4.75828
1,1.74489,17.4489,2.51557,-1.11917
0.993781,2.34775,23.4775,1.4096,-1.21508
0.961635,3.00155,30.0155,1.78162,-1.40931
1,4.06374,40.6374,2.14444,-1.3053
0.641776,3.17881,31.7881,7.5154,-2.36281
1,4.29556,42.9556,3.80049,-2.95697
1,5.79467,57.9467,3.35794,-2.94688
0.0241131,1.78196,17.8196,7.58017,-6.09603
1,2.40582,24.0582,4.15263,-3.94141
1,3.2426,32.426,5.47099,-2.96648
0.00794649,0.984642,9.84642,5.727,-4.74085
1,1.32823,13.2823,2.97941,-2.58053
1,1.78874,17.8874,2.4942,-2.4118
1,2.40495,24.0495,2.2467,-1.80137
1,3.22821,32.2821,2.52103,-1.78864
0.703056,2.7878,27.878,3.03678,-2.73101
1,3.73467,37.3467,3.34654,-2.19082
0.378401,2.00073,20.0073,4.27563,-2.92185
1,2.6785,26.785,1.65818,-1.6245
1,3.58028,35.8028,1.28729,-1.23332
1,4.77833,47.7833,1.26576,-1.03223
0.270761,2.20163,22.0163,2.68123,-2.5355
1,2.9377,29.377,2.39538,-1.24319
0.740582,2.6878,26.878,1.69192,-1.62332
1,3.57919,35.7919,2.02358,-1.06943
1,4.75917,47.5917,1.66936,-1.19201
0.608176,3.59775,35.9775,3.44898,-2.12216
0.84374,3.81805,38.1805,3.43396,-2.70273
0.230088,1.68416,16.8416,3.70062,-3.68007
1,2.23725,22.3725,3.44514,-1.74915
0.728889,2.01784,20.1784,2.58704,-2.16291
1,2.67548,26.7548,1.31124,-1.252
1,3.54247,35.4247,1.90409,-1.22389
0.51983,2.3774,23.774,3.03118,-2.37031
1,3.14437,31.4437,1.47721,-1.41099
