ParName   Value   Gradient
fnatlen_styr(2,2)      9.57223 6.74039e-006
fnatlen_styr(2,3)      9.87272 -2.19126e-006
fnatlen_styr(2,4)      10.6019 -3.5478e-007
fnatlen_styr(2,5)      11.6959 5.11868e-007
fnatlen_styr(2,6)      12.1375 3.83021e-006
fnatlen_styr(2,7)      11.9771 -3.72736e-006
fnatlen_styr(2,8)      11.2861 -1.96881e-006
fnatlen_styr(2,9)      10.4366 -1.62721e-006
fnatlen_styr(2,10)      9.37677 -8.11061e-007
fnatlen_styr(2,11)      8.58351 -1.93586e-006
fnatlen_styr(2,12)      8.20617 1.84232e-006
log_avg_fmort    -0.153353 2.09794e-005
fmort_dev(1978)    -0.530378 -8.7475e-006
fmort_dev(1979)    0.0636182 -2.87501e-005
fmort_dev(1980)      1.34722 -7.61463e-006
fmort_dev(1981)      1.13384  -4.605e-006
fmort_dev(1982)    -0.614662 -8.37504e-006
fmort_dev(1983)     -1.68871 -3.47358e-006
fmort_dev(1984)     -1.04157 1.76472e-007
fmort_dev(1985)    -0.474451 2.20793e-005
fmort_dev(1986)     0.013673 -1.29625e-005
fmort_dev(1987)     0.965345 -8.47276e-006
fmort_dev(1988)      1.31468 -3.29551e-005
fmort_dev(1989)     0.891039 -9.24385e-006
fmort_dev(1990)      1.32183 -7.08171e-005
fmort_dev(1991)      1.55599 3.02412e-007
fmort_dev(1992)      1.23942 5.27117e-005
fmort_dev(1993)     0.687785 9.64756e-006
fmort_dev(1994)     0.406839 -7.72918e-006
fmort_dev(1995)     0.181353 -3.1841e-005
fmort_dev(1996)    -0.152269 -4.33847e-005
fmort_dev(1997)     0.243619   0.00011809
fmort_dev(1998)     0.301863  0.000123697
fmort_dev(1999)     -1.10454 -2.11282e-006
fmort_dev(2000)     -1.11066 -3.21792e-006
fmort_dev(2001)    -0.504572 -1.81164e-006
fmort_dev(2002)    -0.592953 -1.1876e-005
fmort_dev(2003)     -1.05242 -8.42589e-006
fmort_dev(2004)     -1.12575 -6.56257e-006
fmort_dev(2005)    -0.535362 6.03404e-006
fmort_dev(2006)    -0.413379 1.73321e-006
fmort_dev(2007)   -0.0397695 -1.05945e-005
fmort_dev(2008)    -0.510365 2.29586e-007
fmort_dev(2009)    -0.951352 -8.7455e-006
fmort_dev(2010)    -0.813272 -5.57514e-007
fmort_dev(2011)    0.0368231 6.42773e-006
fmort_dev(2012)     0.433206 -9.46896e-006
fmort_dev(2013)     0.461426 7.77947e-006
fmort_dev(2014)     0.595481 2.09409e-006
fmort_dev(2015)    0.0613774 -4.65977e-006
log_avg_fmortdf -0.000113845 -1.03822e-007
fmortdf_dev(1978)   -0.0159677 4.70023e-007
fmortdf_dev(1979)   -0.0180482 -2.37972e-006
fmortdf_dev(1980)   -0.0901522 3.66358e-006
fmortdf_dev(1981)    -0.233043 -6.11798e-007
fmortdf_dev(1982)    -0.201713 -3.20212e-006
fmortdf_dev(1983)    -0.195386 -4.79452e-006
fmortdf_dev(1984)     -0.16058 1.64872e-006
fmortdf_dev(1985)    -0.161532 2.71114e-006
fmortdf_dev(1986)    -0.112666 2.40333e-006
fmortdf_dev(1987)    -0.131882 -6.70422e-006
fmortdf_dev(1988)    -0.210045  7.4549e-006
fmortdf_dev(1989)    -0.185811 6.81447e-007
fmortdf_dev(1990)    -0.179257 -1.25247e-005
fmortdf_dev(1991)   -0.0712373 2.98726e-007
fmortdf_dev(1992)     0.567354 -2.26301e-006
fmortdf_dev(1993)      0.20397  8.7757e-006
fmortdf_dev(1994)   -0.0767362 4.37283e-006
fmortdf_dev(1995)    -0.411257 7.21695e-007
fmortdf_dev(1996)    0.0774884 2.77391e-007
fmortdf_dev(1997)    -0.326469 -2.76977e-006
fmortdf_dev(1998)    -0.232927 8.39534e-006
fmortdf_dev(1999)     -0.21632 9.50843e-007
fmortdf_dev(2000)    -0.191858 -4.43017e-006
fmortdf_dev(2001)    -0.179718 -1.70232e-006
fmortdf_dev(2002)    -0.138586 -1.87827e-006
fmortdf_dev(2003)     -0.14172 -1.64454e-006
fmortdf_dev(2004)    -0.129187 6.37149e-007
fmortdf_dev(2005)    -0.157754 3.08441e-007
fmortdf_dev(2006)    -0.195313 1.46332e-006
fmortdf_dev(2007)    -0.142224 -1.74382e-006
fmortdf_dev(2008)    -0.141422 -4.93053e-006
fmortdf_dev(2009)    -0.115718 2.41218e-006
fmortdf_dev(2010)    -0.108025 1.26327e-006
fmortdf_dev(2011)      1.67815 -2.27619e-006
fmortdf_dev(2012)   0.00799641 2.29452e-006
fmortdf_dev(2013)     0.301603 -8.60307e-007
fmortdf_dev(2014)      1.67409 -5.34759e-006
fmortdf_dev(2015)     0.361902   2.612e-006
log_avg_fmortt     -4.24465 -3.79582e-006
fmortt_dev_era1(1978)      1.62678 3.45106e-006
fmortt_dev_era1(1979)      1.49997 2.07195e-006
fmortt_dev_era1(1980)      1.70851 1.64539e-007
fmortt_dev_era1(1981)     0.817352  8.8784e-007
fmortt_dev_era1(1982)    -0.666908 -6.75702e-006
fmortt_dev_era1(1983)    -0.833299 3.71586e-006
fmortt_dev_era1(1984)    -0.936267 1.75003e-006
fmortt_dev_era1(1985)    -0.989199 2.08156e-006
fmortt_dev_era1(1986)     0.647716 1.62772e-006
fmortt_dev_era1(1987)     -1.36129 7.22861e-006
fmortt_dev_era1(1988)    -0.374672 -2.48246e-006
fmortt_dev_era1(1989)    -0.427798 -1.3265e-006
fmortt_dev_era1(1990)    -0.947356 -2.60515e-007
fmortt_dev_era1(1991)     0.236466 -2.50141e-006
fmortt_dev_era2(1992)     0.424317 -2.18229e-006
fmortt_dev_era2(1993)     0.594918 6.34794e-007
fmortt_dev_era2(1994)      1.61195 -1.19434e-007
fmortt_dev_era2(1995)     0.484664 -3.27916e-006
fmortt_dev_era2(1996)    -0.380056 -1.90823e-006
fmortt_dev_era2(1997)     -0.23908 -2.87784e-006
fmortt_dev_era2(1998)    -0.245914 -1.26556e-006
fmortt_dev_era2(1999)     -0.10479 -3.76502e-007
fmortt_dev_era2(2000)    0.0246897 2.25081e-006
fmortt_dev_era2(2001)   0.00416359 -2.97171e-007
fmortt_dev_era2(2002)    -0.208596 -1.8794e-007
fmortt_dev_era2(2003)      0.32304 -1.20894e-006
fmortt_dev_era2(2004)     0.483403 8.45932e-008
fmortt_dev_era2(2005)    -0.102525  5.5633e-007
fmortt_dev_era2(2006)     0.438746 2.91433e-006
fmortt_dev_era2(2007)    -0.213026 -1.56957e-006
fmortt_dev_era2(2008)    -0.575895 -7.07988e-007
fmortt_dev_era2(2009)     -0.26876 -1.44088e-007
fmortt_dev_era2(2010)    -0.739264 -2.65245e-006
fmortt_dev_era2(2011)    -0.591606  2.9729e-007
fmortt_dev_era2(2012)    -0.175803 2.45677e-006
fmortt_dev_era2(2013)    -0.177368 -1.52846e-006
fmortt_dev_era2(2014)    -0.202959 8.37521e-007
fmortt_dev_era2(2015)     -0.16425 1.93794e-006
Fem_F_prop_constant          0.5            0
log_avg_sel50_mn      4.67297  -1.101e-005
fish_slope_mn     0.188944 4.16425e-005
fish_fit_slope_mn     0.422323 4.80878e-006
fish_fit_sel50_mn      95.7762 -8.71145e-005
fish_disc_slope_f     0.195714 1.27059e-005
fish_disc_sel50_f      4.67287 5.52353e-005
fish_disc_slope_tf    0.0851976 1.65016e-006
fish_disc_sel50_tf      113.331  5.2707e-007
srv1_q            1 -6.81151e-006
srv1_q_f            1 3.41987e-006
srv1_sel95      59.8285 2.70598e-006
srv1_sel50      42.5898 6.07359e-008
srv2_q     0.489512 1.17982e-006
srv2_q_f     0.321683 3.86465e-006
srv2_sel95      61.1579 -2.42725e-006
srv2_sel50      41.1944 -6.74762e-008
srv3_q     0.624262 -4.98995e-006
srv3_sel95      56.9669 -1.59681e-006
srv3_sel50      38.2845 1.06615e-006
srv3_q_f     0.497871 -4.33481e-006
srv3_sel95_f      42.9278 1.02488e-006
srv3_sel50_f       33.177 -7.35936e-007
srvind_q     0.360689 2.00175e-006
srvind_q_f     0.107537 -7.21831e-006
srvind_sel95_f           55 -1.80035e-006
srvind_sel50_f      49.1862 1.31761e-006
srv10ind_q            1 -1.02324e-008
srv10ind_q_f            1 -8.01044e-007
selsmo10ind(1)    -0.759654 -3.16886e-007
selsmo10ind(2)    -0.880078 7.76282e-008
selsmo10ind(3)    -0.772785 1.06796e-006
selsmo10ind(4)    -0.394056 3.95791e-007
selsmo10ind(5)   -0.0324846 5.95987e-008
selsmo10ind(6)  -0.00100003  -7.903e-006
selsmo10ind(7)   -0.0358469 -1.29802e-007
selsmo10ind(8)    -0.137018 -1.25009e-006
selsmo10ind(9)    -0.301834 2.52316e-006
selsmo10ind(10)     -0.43834 7.55014e-007
selsmo10ind(11)    -0.549021 -1.26256e-006
selsmo10ind(12)     -0.62794 7.34353e-007
selsmo10ind(13)    -0.641137 -6.50434e-007
selsmo10ind(14)    -0.601575 2.86056e-006
selsmo10ind(15)    -0.528152 4.39042e-007
selsmo10ind(16)    -0.437949 -2.55988e-006
selsmo10ind(17)    -0.333322 2.75495e-006
selsmo10ind(18)    -0.219156 -1.5993e-006
selsmo10ind(19)    -0.117996 1.03079e-006
selsmo10ind(20)   -0.0490005  3.6995e-007
selsmo10ind(21)   -0.0141516 -1.30462e-007
selsmo10ind(22)  -0.00100109 -4.43119e-006
selsmo09ind(1)           -4 -9.37358e-007
selsmo09ind(2)           -4 5.64061e-006
selsmo09ind(3)           -4 9.56748e-007
selsmo09ind(4)     -3.83618 -8.01872e-007
selsmo09ind(5)     -3.41356 2.93926e-006
selsmo09ind(6)     -2.76378 -3.83301e-006
selsmo09ind(7)     -2.01653 1.09601e-006
selsmo09ind(8)     -1.37676 4.65363e-006
selsmo09ind(9)    -0.986199 -2.5936e-006
selsmo09ind(10)    -0.753509 2.46029e-006
selsmo09ind(11)    -0.611893 -1.74106e-006
selsmo09ind(12)    -0.444016 3.98641e-007
selsmo09ind(13)    -0.200656 -1.05041e-006
selsmo09ind(14)  -0.00100013 1.15588e-006
selsmo09ind(15)  -0.00100015 -7.60908e-006
selsmo09ind(16)    -0.185045 -1.55766e-007
selsmo09ind(17)    -0.392705 6.29953e-007
selsmo09ind(18)    -0.465399 -6.90999e-007
selsmo09ind(19)    -0.381304 1.20094e-006
selsmo09ind(20)    -0.215344 -9.51679e-007
selsmo09ind(21)   -0.0811211 3.45392e-007
selsmo09ind(22)  -0.00100024 1.97859e-006
Mmult_imat      1.78123 -0.000173276
Mmult      1.13279 -5.06856e-005
cpueq   0.00108645 -8.55043e-007
