ParName   Value   Gradient
RecDev(1994)     -1.52724 7.26441e-007
RecDev(1995)     -1.22892 -1.00737e-006
RecDev(1996)    -0.327747 5.44424e-006
RecDev(1997)    -0.547937 -2.19555e-006
RecDev(1998)      0.41642 -1.93197e-005
RecDev(1999)     0.106357 -3.94048e-006
RecDev(2000)      1.34172 -1.97427e-006
RecDev(2001)     -1.11897 -1.26947e-007
RecDev(2002)    -0.639494 8.22587e-007
RecDev(2003)      1.72219 1.02878e-005
RecDev(2004)    -0.183946 1.24984e-006
RecDev(2005)     -1.42717    1.06e-006
RecDev(2006)      -1.3275 1.16592e-006
RecDev(2007)     -1.07659 4.29436e-007
RecDev(2008)     0.445964 -6.41784e-007
RecDev(2009)      1.68001 1.05148e-006
RecDev(2010)     0.429243 -1.02055e-006
RecDev(2011)     -1.37301 1.06508e-006
RecDev(2012)    -0.898675 -1.24094e-006
RecDev(2013)     0.125294 -2.47891e-006
RecDev(2014)     -1.78136 1.15005e-007
RecDev(2015)    -0.402112 -5.14888e-007
RecDev(2016)     0.304278 5.52595e-007
dummy            0            0
