"","cor","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1",0,"stan",1,0.8,"diag",1.39336559236607,2,0.033,0.049,465.678771431631,924.966144285741,1000,453.998674071083,0.999065765423546,1.00039445910346,1.00001562118611,9503.6483965639,"mvnd"
"2",0,"tmb",1,0.8,"diag",1.22513897251543,2,0.672451972961426,1.21482801437378,415.520858096728,793.718788558597,1000,370.965990046136,0.999171678053641,1.00802724988444,1.0025258247161,342.040892357032,"mvnd"
"3",0,"admb",1,0.8,"diag",1.21567,2,NA,0.240000000000009,608.320174850372,628.042205623335,1000,574.100637759372,0.999375335294384,1.00245023266156,1.00000191414122,2534.66739520979,"mvnd"
"4",0,"admb.rwm",1,0.8,"diag",NA,2,NA,0.160000000000025,727.083204238829,783.978460600108,1000,791.547414566417,0.99910654092885,1.00336764998232,0.99914152905099,4544.27002649197,"mvnd"
"5",0,"stan",2,0.8,"diag",1.22318584427948,2,0.037,0.051,466.195388678181,997.368400554304,1000,454.394693906619,0.99900134576167,0.99916704776362,0.999005483769394,9141.08605251336,"mvnd"
"6",0,"tmb",2,0.8,"diag",1.2529113968908,2,0.615415811538696,1.15227293968201,363.167538976509,1000,1000,342.01947368794,0.999002849182917,0.999815155685314,0.999247305476823,315.174926416941,"mvnd"
"7",0,"admb",2,0.8,"diag",1.20557,2,NA,0.25,444.292274643045,636.94254274681,1000,563.208960294266,1.0014943003492,1.00213979954024,1.00208849929544,1777.16909857218,"mvnd"
"8",0,"admb.rwm",2,0.8,"diag",NA,2,NA,0.159999999999997,770.228147429054,893.731853053529,1000,766.551959288365,0.99899955860346,1.00004108338243,0.999021913248347,4813.92592143169,"mvnd"
"9",0,"stan",3,0.8,"diag",1.31516498487037,2,0.038,0.052,439.953055877499,908.275025421401,1000,436.564310097299,0.999013857461892,0.999075995768582,0.999026986450494,8460.63568995191,"mvnd"
"10",0,"tmb",3,0.8,"diag",1.22825111599349,2,0.611423015594482,1.15733909606934,366.612374490759,1000,1000,377.591831011111,0.999561701715027,1.00610921340427,1.00156557704496,316.771787746463,"mvnd"
"11",0,"admb",3,0.8,"diag",1.23869,2,NA,0.230000000000018,603.598793925275,642.004672730884,1000,585.201537083199,0.99913238234993,1.00376932271973,1.0018635721618,2624.34258228359,"mvnd"
"12",0,"admb.rwm",3,0.8,"diag",NA,2,NA,0.159999999999997,667.230649753696,853.947835444205,1000,822.582490893302,0.999568199964132,1.00112080166396,1.00061465408539,4170.19156096069,"mvnd"
"13",1,"stan",1,0.8,"diag",1.42051375683617,2,0.016,0.03,513.793280675808,901.372451282981,1000,501.756035571097,0.999050368895641,1.00030655599706,0.999073859712861,17126.4426891936,"mvnd"
"14",1,"tmb",1,0.8,"diag",1.19734441127577,2,0.609907865524292,1.15827298164368,416.264570926245,1000,1000,495.506491680838,0.999358633111896,0.999547224754877,0.999368203563089,359.383821882415,"mvnd"
"15",1,"admb",1,0.8,"diag",1.21131,2,NA,0.22999999999999,524.825352458187,543.110135606495,1000,542.568224724173,0.999451341012826,1.00097564622867,0.999633322017333,2281.84935851396,"mvnd"
"16",1,"admb.rwm",1,0.8,"diag",NA,2,NA,0.170000000000016,839.485701101414,840.47311053467,1000,757.59754903288,1.00040350096914,1.00100168769071,1.00056290079373,4938.15118294903,"mvnd"
"17",1,"stan",2,0.8,"diag",1.28942887013245,2,0.017,0.032,530.717269503303,1000,1000,496.64644236358,0.999142166306686,1.00494238449507,0.999502615063286,16584.9146719782,"mvnd"
"18",1,"tmb",2,0.8,"diag",1.20915802740813,2,0.608407974243164,1.15827417373657,419.528383057575,1000,1000,453.49540455631,0.999160469108192,1.00639863071004,1.00038007372993,362.20127545811,"mvnd"
"19",1,"admb",2,0.8,"diag",1.22504,2,NA,0.239999999999981,534.968743262555,586.173198204104,1000,538.767352325587,0.999103691699524,0.999745504817041,0.999352703953511,2229.03643026083,"mvnd"
"20",1,"admb.rwm",2,0.8,"diag",NA,2,NA,0.169999999999987,875.213350414009,901.826344949463,1000,864.300560483395,0.999096377607795,1.00163018633297,1.0000838284569,5148.31382596514,"mvnd"
"21",1,"stan",3,0.8,"diag",1.32986274254091,2,0.017,0.032,457.065455639585,799.647678419404,1000,452.471598906116,1.0008927900015,1.00799276375639,1.00314588784442,14283.295488737,"mvnd"
"22",1,"tmb",3,0.8,"diag",1.20083390114344,2,0.607411861419678,1.14576983451843,425.672879434891,842.515576783745,1000,411.548811906734,0.999037999953219,1.00801949999823,1.001160830658,371.516919551126,"mvnd"
"23",1,"admb",3,0.8,"diag",1.22407,2,NA,0.239999999999981,607.949041708048,629.450840348672,1000,645.492310956789,1.00059821376593,1.00390690152442,1.00359475092194,2533.12100711707,"mvnd"
"24",1,"admb.rwm",3,0.8,"diag",NA,2,NA,0.169999999999987,814.553381990715,895.589782117577,1000,822.913053306248,0.999295245457757,1.00276977463896,0.999913861648752,4791.49048229868,"mvnd"
"25",0,"stan",1,0.8,"diag",1.25111985612735,4,0.051,0.069,310.555344413445,1000,1000,402.519259412835,0.998999520732563,1.00122181416421,0.999985505183594,4500.80209294848,"mvnd"
"26",0,"tmb",1,0.8,"diag",1.06996359164724,4,0.78252911567688,1.39896607398987,289.201633858017,1000,1000,330.317434782053,0.999005979016113,1.00143427461049,0.999432379349757,206.725266062536,"mvnd"
