theta1 theta2 thetaminus1 thetaminus2 thetaplus1 thetaplus2 rminus1 rminus2 rplus1 rplus2 alpha divergent nfevals v nprime logu
 0.52286 -0.11654 0.52286 -0.11654 0.52286 -0.11654 -0.115943 -0.395035 -0.115943 -0.395035 0.999971 0 40 -1 1 -0.921348
 0.528004 -0.0966426 0.528004 -0.0966426 0.528004 -0.0966426 -0.0896715 -0.400364 -0.0896715 -0.400364 0.999971 0 41 -1 1 -0.921348
 0.531828 -0.0765036 0.531828 -0.0765036 0.531828 -0.0765036 -0.0631758 -0.404693 -0.0631758 -0.404693 0.999971 0 42 -1 1 -0.921348
 0.534322 -0.0561733 0.534322 -0.0561733 0.534322 -0.0561733 -0.036522 -0.40801 -0.036522 -0.40801 0.999971 0 43 -1 1 -0.921348
 0.53548 -0.0357026 0.53548 -0.0357026 0.53548 -0.0357026 -0.009777 -0.410307 -0.009777 -0.410307 0.999971 0 44 -1 1 -0.921348
 0.535299 -0.0151426 0.535299 -0.0151426 0.535299 -0.0151426 0.0169925 -0.411578 0.0169925 -0.411578 0.999971 0 45 -1 1 -0.921348
 0.53378 0.0054552 0.53378 0.0054552 0.53378 0.0054552 0.0437195 -0.41182 0.0437195 -0.41182 0.999972 0 46 -1 1 -0.921348
 0.530927 0.0260394 0.530927 0.0260394 0.530927 0.0260394 0.0703372 -0.411033 0.0703372 -0.411033 0.999973 0 47 -1 1 -0.921348
 0.526747 0.0465585 0.526747 0.0465585 0.526747 0.0465585 0.096779 -0.409218 0.096779 -0.409218 0.999974 0 48 -1 1 -0.921348
 0.521249 0.0669612 0.521249 0.0669612 0.521249 0.0669612 0.122979 -0.40638 0.122979 -0.40638 0.999975 0 49 -1 1 -0.921348
 0.514449 0.0871964 0.514449 0.0871964 0.514449 0.0871964 0.148871 -0.402526 0.148871 -0.402526 0.999976 0 50 -1 1 -0.921348
 0.506362 0.107214 0.506362 0.107214 0.506362 0.107214 0.174392 -0.397666 0.174392 -0.397666 0.999977 0 51 -1 1 -0.921348
 0.49701 0.126963 0.49701 0.126963 0.49701 0.126963 0.199476 -0.391811 0.199476 -0.391811 0.999979 0 52 -1 1 -0.921348
 0.486415 0.146395 0.486415 0.146395 0.486415 0.146395 0.224062 -0.384977 0.224062 -0.384977 0.99998 0 53 -1 1 -0.921348
 0.474604 0.165461 0.474604 0.165461 0.474604 0.165461 0.248087 -0.377181 0.248087 -0.377181 0.999982 0 54 -1 1 -0.921348
 0.461606 0.184113 0.461606 0.184113 0.461606 0.184113 0.271492 -0.368441 0.271492 -0.368441 0.999984 0 55 -1 1 -0.921348
 0.447454 0.202305 0.447454 0.202305 0.447454 0.202305 0.294219 -0.358781 0.294219 -0.358781 0.999986 0 56 -1 1 -0.921348
 0.432184 0.219991 0.432184 0.219991 0.432184 0.219991 0.31621 -0.348224 0.31621 -0.348224 0.999988 0 57 -1 1 -0.921348
 0.415833 0.237127 0.415833 0.237127 0.415833 0.237127 0.33741 -0.336796 0.33741 -0.336796 0.999989 0 58 -1 1 -0.921348
 0.398443 0.253671 0.398443 0.253671 0.398443 0.253671 0.357767 -0.324526 0.357767 -0.324526 0.999991 0 59 -1 1 -0.921348
 0.380057 0.26958 0.380057 0.26958 0.380057 0.26958 0.37723 -0.311444 0.37723 -0.311444 0.999993 0 60 -1 1 -0.921348
 0.36072 0.284815 0.36072 0.284815 0.36072 0.284815 0.395749 -0.297585 0.395749 -0.297585 0.999995 0 61 -1 1 -0.921348
 0.340482 0.299338 0.340482 0.299338 0.340482 0.299338 0.413279 -0.282981 0.413279 -0.282981 0.999997 0 62 -1 1 -0.921348
 0.319392 0.313113 0.319392 0.313113 0.319392 0.313113 0.429776 -0.267669 0.429776 -0.267669 0.999999 0 63 -1 1 -0.921348
