"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.8,"diag",0.335862552246434,500,3.832,4.145,354.622177884689,1000,1000,320.492400823443,0.998999499516301,1.00298463919426,0.999164560902697,85.5542045560167,"zdiag"
"2","tmbstan",1,0.8,"diag",0.314186528661236,500,11.186,11.871,351.351204006767,1000,1000,345.124053161724,0.998999505538725,1.00241557543384,0.999166447142617,29.5974394749193,"zdiag"
"3","tmb",1,0.8,"diag",0.365355079364325,500,31.390321969986,34.1021389961243,181.319583490681,1000,1000,183.388524609962,0.998999500222848,1.00333733226937,0.999181284317173,5.3169563208715,"zdiag"
"4","admb",1,0.8,"diag",0.350721,500,NA,40.78,198.785131052325,1000,1000,215.638098617387,0.998999500197408,1.01030034054945,0.999195665800671,4.87457408171469,"zdiag"
"5","stan",2,0.8,"diag",0.352887427753114,500,5.668,5.996,370.205983516368,1000,1000,334.383397375973,0.998999503725356,1.00296122245689,0.999164247070349,61.742158691856,"zdiag"
"6","tmbstan",2,0.8,"diag",0.34082390086787,500,11.7,12.403,279.993281477907,1000,1000,297.509023014383,0.998999499501938,1.0038410239691,0.999179780351946,22.5746417381204,"zdiag"
"7","tmb",2,0.8,"diag",0.346474224972612,500,33.1646609306335,35.7488889694214,201.572788659362,1000,1000,202.121410883544,0.998999499670838,1.00431944735026,0.999143708827947,5.63857491716124,"zdiag"
"8","admb",2,0.8,"diag",0.333423,500,NA,42.44,220.932584946524,1000,1000,217.334094178352,0.998999501926012,1.00238956824596,0.999173251593131,5.20576307602553,"zdiag"
"9","stan",3,0.8,"diag",0.318563144759566,500,5.36,5.701,320.040762917781,1000,1000,330.919425871607,0.998999503106714,1.00958305546582,0.999190578668007,56.1376535551273,"zdiag"
"10","tmbstan",3,0.8,"diag",0.320545977895155,500,11.513,12.244,328.687646766261,1000,1000,303.713601107238,0.998999506363788,1.00239994918031,0.999162175649468,26.8447931040723,"zdiag"
"11","tmb",3,0.8,"diag",0.366045553772956,500,34.2917509078979,36.7195560932159,207.351492412529,1000,1000,183.918577132239,0.998999500153842,1.00271785199991,0.999159784813861,5.64689540053665,"zdiag"
"12","admb",3,0.8,"diag",0.355496,500,NA,40.41,215.00590008636,1000,1000,192.931472682044,0.998999504709581,1.00247975548431,0.999151032797364,5.32061123697994,"zdiag"
"13","stan",4,0.8,"diag",0.325080605700197,500,4.996,5.327,297.33236872727,1000,1000,324.158683066634,0.998999502215857,1.04541461852873,0.999167624236325,55.8161007560108,"zdiag"
"14","tmbstan",4,0.8,"diag",0.328138081896571,500,13.945,14.633,298.94518449514,1000,1000,476.738182536504,0.998999509347697,1.00330521465281,0.999180853381172,20.4295212529994,"zdiag"
"15","tmb",4,0.8,"diag",0.367860998815557,500,33.7162981033325,36.3191771507263,219.34614043852,1000,1000,207.872766356974,0.99899949962036,1.00357303346773,0.999195329866276,6.03940280717879,"zdiag"
"16","admb",4,0.8,"diag",0.361847,500,NA,44.53,244.901136889283,1000,1000,234.089714430537,0.998999500298886,1.00674938060003,0.999159992286048,5.49968867930121,"zdiag"
"17","stan",5,0.8,"diag",0.303369558719993,500,4.892,5.248,394.165922476249,1000,1000,392.633741589984,0.998999505831234,1.00414962088301,0.999218237962837,75.1078358376999,"zdiag"
"18","tmbstan",5,0.8,"diag",0.290921377593355,500,12.774,13.521,406.758862858973,1000,1000,381.071811503,0.998999499599302,1.00482667505799,0.999208237538793,30.0834895983266,"zdiag"
"19","tmb",5,0.8,"diag",0.349647377502199,500,32.6118760108948,35.087993144989,197.781372704006,1000,1000,190.818830072634,0.998999502092416,1.00244960333133,0.999163948315293,5.6367251294978,"zdiag"
"20","admb",5,0.8,"diag",0.354147,500,NA,42.37,162.443237562685,1000,1000,202.27988814066,0.998999499534204,1.00650753467967,0.99919994169543,3.83392111311506,"zdiag"
"21","stan",6,0.8,"diag",0.290770878879324,500,5.05,5.378,375.602877624547,1000,1000,324.547839933192,0.998999510538713,1.00284397707423,0.999157303128583,69.8406243258733,"zdiag"
"22","tmbstan",6,0.8,"diag",0.300287607105756,500,13.519,14.222,333.259998038525,1000,1000,339.717291448469,0.998999524099963,1.00394628371067,0.999178847040376,23.4327097481736,"zdiag"
"23","tmb",6,0.8,"diag",0.359260456167921,500,31.5825140476227,34.0239241123199,224.862453708652,1000,1000,219.660209876319,0.998999508406261,1.01313706847302,0.999154346595043,6.60895118876749,"zdiag"
"24","admb",6,0.8,"diag",0.361101,500,NA,41.4300000000001,206.269435940194,1000,1000,201.595781830126,0.998999500226749,1.00409279984324,0.999189214408065,4.97874573835851,"zdiag"
"25","stan",7,0.8,"diag",0.321407607499611,500,4.376,4.719,284.191522876728,1000,1000,325.276182100241,0.998999499500702,1.00393857978668,0.999190635924927,60.222827479705,"zdiag"
"26","tmbstan",7,0.8,"diag",0.324575291137549,500,13.039,13.773,381.719408932595,1000,1000,408.227978488018,0.998999500534488,1.00339151785053,0.999178520131378,27.7150518356636,"zdiag"
