"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"50","tmbstan",1,256,1000,0.852630905526267,0.8,0.360435393267797,0,0,15,15,0,"diag","iidz"
"51","tmb",1,256,1000,0.815701741247671,0.8,0.410358589846319,0,0,14.792,15,1.27371831986447,"diag","iidz"
"52","admb",1,256,1000,0.823607106,0.8,0.402329,0,0,14.816,15,1.19982648061442,"diag","iidz"
"53","stan",2,256,1000,0.864421074690326,0.8,0.357773546629529,0,0,15,15,0,"diag","iidz"
"54","tmbstan",2,256,1000,0.856993553497128,0.8,0.362089701113719,0,0,15,15,0,"diag","iidz"
"55","tmb",2,256,1000,0.823457056035609,0.8,0.392533846863407,0,0,14.984,15,0.357591767063885,"diag","iidz"
"56","admb",2,256,1000,0.819160331,0.8,0.408664,0,0,14.744,15,1.40870452844039,"diag","iidz"
"57","stan",3,256,1000,0.881501415469888,0.8,0.325051988807789,0,0,15,15,0,"diag","iidz"
"58","tmbstan",3,256,1000,0.863334265837386,0.8,0.359344949458469,0,0,15,15,0,"diag","iidz"
"59","tmb",3,256,1000,0.813013139443447,0.8,0.403913477823751,0,0,14.864,15,1.03468573710793,"diag","iidz"
"60","admb",3,256,1000,0.785883464,0.8,0.419115,0,0,57.76,39,52.3843346671361,"diag","iidz"
"61","stan",4,256,1000,0.868628729436758,0.8,0.353464041850606,0,0,15,15,0,"diag","iidz"
"62","tmbstan",4,256,1000,0.861633425431312,0.8,0.360902473511164,0,0,15,15,0,"diag","iidz"
"63","tmb",4,256,1000,0.828765529583467,0.8,0.397679986053042,0,0,14.992,15,0.25298221281347,"diag","iidz"
"64","admb",4,256,1000,0.836767559,0.8,0.40246,0,0,14.944,15,0.667315000063171,"diag","iidz"
